indice,vecteur
33,0.05084228515593968 0.0657958984370984 0.05383300781217143 0.11297607421806044 0.20690917968623712 0.1428833007803779 0.06964111328082494 0.07727050781202838 0.08947753906195387 0.13037109374920428
40,0.046203613280967996 0.0655517578120999 0.04119873046849854 0.10437011718686297 0.17993164062390177 0.14630126953035705 0.07995605468701199 0.08026123046826011 0.1104125976555761 0.14581298828036002
41,0.047180175780962036 0.06634521484334506 0.04943847656219825 0.10827636718683913 0.20043945312377662 0.14532470703036302 0.07574462890578769 0.08032226562450975 0.09234619140568635 0.13458251953042857
42,0.04833984374970496 0.06622314453084581 0.04803466796845682 0.10882568359308578 0.20275878906126246 0.15118408203032724 0.07458496093704477 0.07879638671826907 0.09185791015568934 0.12939453124921024
43,0.04809570312470644 0.06756591796833761 0.04846191406220421 0.10772705078059248 0.1906738281238362 0.14367675781162306 0.07128906249956489 0.08306884765574299 0.0988769531243965 0.14056396484289205
50,0.05242919921842999 0.07006835937457233 0.050537109374691545 0.10131835937438159 0.17034912109271028 0.12988281249920725 0.07305908203080408 0.08953857421820349 0.10668945312434881 0.15612792968654707
51,0.06213378906212076 0.07751464843702688 0.0520019531246826 0.10339355468686894 0.1571044921865411 0.1206665039055135 0.06921386718707755 0.08636474609322287 0.10968017578058056 0.16192626953026168
52,0.059936523437134175 0.07617187499953508 0.051513671874685585 0.1040039062493652 0.1713256835927043 0.12359619140549562 0.0668945312495917 0.08386230468698815 0.10705566406184658 0.15563964843655004
53,0.057556152343398705 0.07757568359327652 0.05206298828093223 0.10156249999938011 0.17651367187392264 0.12585449218673184 0.06860351562458128 0.0850830078119807 0.10223388671812601 0.15295410156156644
60,0.039978027343505994 0.0655517578120999 0.050964355468438936 0.11138916015557013 0.21514892577993683 0.1524658203115694 0.07415771484329738 0.07788085937452464 0.08630371093697324 0.12615966796797998
61,0.04260253906223997 0.06103515624962747 0.04632568359346725 0.1113281249993205 0.23382568359232284 0.1530761718740657 0.06970214843707456 0.07275390624955594 0.08703613281196877 0.12231445312425344
62,0.0402221679685045 0.06414794921835847 0.04876708984345235 0.11981201171801872 0.22430419921738096 0.1468505859366037 0.07324218749955297 0.07604980468703583 0.08337402343699112 0.12322998046799785
70,0.04327392578098588 0.06329345703086368 0.04779052734345831 0.11541748046804554 0.22937011718610004 0.14837646484284436 0.07293701171830483 0.07519531249954105 0.08062744140575788 0.12371826171799488
71,0.044494628905978426 0.06256103515586815 0.04626464843721762 0.1175537109367825 0.2248535156236276 0.1477661132803481 0.071105957030816 0.07299804687455445 0.08276367187449485 0.12963867187420874
72,0.04052734374975264 0.06072998046837933 0.048583984374703466 0.11474609374929964 0.2486572265609823 0.15563964843655004 0.06390380859335996 0.07501220703079216 0.077331542968278 0.1148681640617989
73,0.04174804687474519 0.05792236328089647 0.046142578124718364 0.11608886718679144 0.2630004882796448 0.15594482421779818 0.06512451171835251 0.06756591796833761 0.07470703124954402 0.11175537109306789
80,0.03979492187475711 0.062072753905871136 0.048828124999701975 0.12426757812424152 0.216430664061179 0.15179443359282352 0.0700073242183227 0.08148193359325268 0.08496093749948144 0.12036132812426537
81,0.04229736328099184 0.0593261718746379 0.04919433593719974 0.12127685546800977 0.23315429687357692 0.15447998046780712 0.0728759765620552 0.06860351562458128 0.0791015624995172 0.11968994140551946
90,0.08007812499951124 0.08349609374949038 0.060668945312129706 0.10150146484313048 0.14123535156163797 0.11773681640553138 0.06457519531210586 0.08502197265573107 0.10406494140561483 0.16162109374901354
91,0.07940673828076533 0.08074951171825714 0.059509277343386784 0.10522460937435775 0.14739990234285033 0.11779785156178102 0.06567382812459915 0.08355712890574 0.1030883789056208 0.15759277343653813
92,0.09826660156190023 0.08673095703072063 0.06085205078087859 0.09582519531191512 0.12145996093675866 0.10339355468686894 0.06042480468713119 0.0881958007807117 0.10467529296811111 0.1801757812489003
93,0.09234619140568635 0.08758544921821541 0.0626831054683674 0.09582519531191512 0.12719726562422365 0.1060180664056029 0.06811523437458425 0.0857543945307266 0.10418701171811409 0.17028808593646064
94,0.08422851562448591 0.08068847656200752 0.06884765624957978 0.10705566406184658 0.14477539062411635 0.10668945312434881 0.06634521484334506 0.0848999023432318 0.09869384765564762 0.157775878905287
95,0.08581542968697622 0.08203124999949932 0.06744384765583836 0.10229492187437564 0.13940429687414913 0.10815429687433988 0.06567382812459915 0.08544921874947846 0.10015869140563867 0.1635742187490016
96,0.0034790039062287657 0.018859863281134887 0.013122558593669906 0.12182617187425643 0.3190307617168028 0.3130493164043393 0.07885742187451869 0.04864501953095309 0.05676269531215355 0.026367187499839066
